name,nameascii,adm0name,adm0_a3,scalerank,natscale,labelrank,featurecla,pop_max,pop_min,longitude,latitude,pixel_x,pixel_y,pixel_x_int,pixel_y_int,centered_x,centered_y,centered_x_int,centered_y_int,region_id,population_weight,network_weight,security_weight,financial_weight,cultural_weight,government_weight
Allahabad,Allahabad,India,IND,4,50,1,Populated place,1201000,1073438,81.838061,25.4569412,3636.63973611111,813.098038888889,3637,813,1136.63973611111,-186.901961111111,1137,-187,india,1.05,6,5.5,6,3.52,5.7
Srinagar,Srinagar,India,IND,4,50,1,Admin-1 capital,1140000,975857,74.8283091098122,34.0694738746454,3539.28207096961,693.479529518815,3539,693,1039.28207096961,-306.520470481186,1039,-307,india,1.04,6,5.5,6,3.52,5.7
Vijayawada,Vijayawada,India,IND,4,50,1,Populated place,1137000,874587,80.6280574,16.5219052,3619.83413055556,937.195761111111,3620,937,1119.83413055556,-62.8042388888888,1120,-63,india,1.04,6,5.5,6,3.52,5.7
Aurangabad,Aurangabad,India,IND,4,50,1,Populated place,1113000,1016441,75.3289483192487,19.8616862101863,3546.2353933229,890.809913747413,3546,891,1046.2353933229,-109.190086252587,1046,-109,india,1.03,6,5.5,6,3.52,5.7
Bhilai,Bhilai,India,IND,3,110,1,Populated place,1097000,1097000,81.3722129528492,21.2112619618775,3630.16962434513,872.065806085035,3630,872,1130.16962434513,-127.934193914965,1130,-128,india,1.03,6,5.5,6,3.52,5.7
Sholapur,Sholapur,India,IND,4,50,1,Populated place,1057000,961112,75.8980618,17.6723518,3554.13974722222,921.217336111111,3554,921,1054.13974722222,-78.7826638888889,1054,-79,india,1.01,6,5.5,6,3.5,5.7
Ranchi,Ranchi,India,IND,4,50,1,Admin-1 capital,1044000,846454,85.3280805,23.3719522,3685.11222916667,842.056219444445,3685,842,1185.11222916667,-157.943780555555,1185,-158,india,1.01,6,5.5,6,3.5,5.7
Athens,Athens,Greece,GRC,1,300,6,Admin-0 capital,3242000,729137,23.7313752,37.9852721,2829.60243333333,639.093443055555,2830,639,329.602433333333,-360.906556944445,330,-361,eastern_europe,1.58,6,6.5,5.5,3.79,6.1
Katowice,Katowice,Poland,POL,7,20,5,Admin-1 capital,2746000,308724,19.020017,50.2603805,2764.16690277778,468.605826388889,2764,469,264.166902777778,-531.394173611111,264,-531,eastern_europe,1.45,6,6.5,5.5,3.73,6.1
Kyiv,Kiev,Ukraine,UKR,1,300,5,Admin-0 capital,2709000,1662508,30.5146821,50.4353132,2923.81502916667,466.176205555556,2924,466,423.815029166667,-533.823794444445,424,-534,eastern_europe,1.44,6,6.5,5.5,3.72,6.1
Bucharest,Bucharest,Romania,ROU,2,200,6,Admin-0 capital,1942000,1742194,26.0980008,44.4353177,2862.47223333333,549.509476388889,2862,550,362.472233333333,-450.490523611111,362,-450,eastern_europe,1.24,6,6.5,5.5,3.62,6.1
Minsk,Minsk,Belarus,BLR,3,110,6,Admin-0 capital,1805000,1577138,27.5646813,53.9019233,2882.84279583333,418.028843055556,2883,418,382.842795833333,-581.971156944444,383,-582,eastern_europe,1.21,6,6.5,5.5,3.6,6.1
Warsaw,Warsaw,Poland,POL,2,200,5,Admin-0 capital,1707000,1702139,21.0053467377423,52.2308719735395,2791.74092691309,441.237889256396,2792,441,291.740926913087,-558.762110743604,292,-559,eastern_europe,1.18,6,6.5,5.5,3.59,6.1
Budapest,Budapest,Hungary,HUN,2,200,6,Admin-0 capital,1679000,1679000,19.0813748,47.5019522,2765.01909444444,506.917330555556,2765,507,265.019094444444,-493.082669444444,265,-493,eastern_europe,1.18,6,6.5,5.5,3.59,6.1
Kharkiv,Kharkiv,Ukraine,UKR,4,50,5,Admin-1 capital,1461000,1215127,36.2480789,50.0019288,3003.44554027778,472.195433333333,3003,472,503.445540277778,-527.804566666667,503,-528,eastern_europe,1.12,6,6.5,5.5,3.56,6.1
Sofia,Sofia,Bulgaria,BGR,3,110,7,Admin-0 capital,1185000,874827,23.3147082,42.6852953,2823.81539166667,573.815343055556,2824,574,323.815391666667,-426.184656944445,324,-426,eastern_europe,1.05,6,6.5,5.5,3.52,6.1
Prague,Prague,Czechia,CZE,2,200,7,Admin-0 capital,1162000,2087,14.4229394862039,50.0869665373215,2700.31860397505,471.014353648312,2700,471,200.318603975054,-528.985646351688,200,-529,eastern_europe,1.04,6,6.5,5.5,3.52,6.1
Belgrade,Belgrade,Serbia,SRB,3,110,8,Admin-0 capital,1099000,1099000,20.4660448,44.8205913,2784.25062222222,544.158454166667,2784,544,284.250622222222,-455.841545833333,284,-456,eastern_europe,1.03,6,6.5,5.5,3.52,6.1
Dnipro,Dnipro,Ukraine,UKR,4,50,5,Admin-1 capital,1050000,848849,34.9980777,48.4819182,2986.0844125,493.306691666667,2986,493,486.0844125,-506.693308333333,486,-507,eastern_europe,1.01,6,6.5,5.5,3.5,6.1
Addis Ababa,Addis Ababa,Ethiopia,ETH,1,300,3,Admin-0 capital,3100000,2757729,38.6980586,9.0352562,3037.47303611111,1041.17699722222,3037,1041,537.473036111112,41.1769972222223,537,41,east_africa,1.55,3.5,3.5,3.5,2.52,3.5
Nairobi,Nairobi,Kenya,KEN,0,600,5,Admin-0 capital,3010000,2750547,36.814711,-1.2814009,3011.31543055556,1184.46390138889,3011,1184,511.315430555555,184.463901388889,511,184,east_africa,1.52,3.5,3.5,3.5,2.51,3.5
Dar es Salaam,Dar es Salaam,Tanzania,TZA,2,200,5,Admin-0 capital,2930000,2698652,39.266396,-6.7980667,3045.36661111111,1261.08425972222,3045,1261,545.366611111111,261.084259722222,545,261,east_africa,1.5,3.5,3.5,3.5,2.5,3.5
Kampala,Kampala,Uganda,UGA,3,110,5,Admin-0 capital,1420000,1353189,32.5813777,0.3186048,2952.51913472222,1162.2416,2953,1162,452.519134722222,162.2416,453,162,east_africa,1.11,3.5,3.5,3.5,2.31,3.5
Mogadishu,Mogadishu,Somalia,SOM,3,110,8,Admin-0 capital,1100000,875388,45.3647318,2.0686272,3130.06571944444,1137.93573333333,3130,1138,630.065719444445,137.935733333333,630,138,east_africa,1.03,3.5,3.5,3.5,2.27,3.5
Shanghai,Shanghai,China,CHN,0,600,1,Admin-1 capital,14987000,14608512,121.4345588,31.2183983,4186.59109444445,733.077801388889,4187,733,1686.59109444445,-266.922198611111,1687,-267,china,4.63,8.5,9,8,6.56,8.6
Beijing,Beijing,China,CHN,0,600,1,Admin-0 capital,11106000,7480601,116.394200892606,39.9017203098627,4116.58612350842,612.476106807463,4117,612,1616.58612350842,-387.523893192537,1617,-388,china,3.62,8.5,9,8,6.06,8.6
Guangzhou,Guangzhou,China,CHN,2,200,1,Admin-1 capital,8829000,3152825,113.261785167129,23.124723432967,4073.08034954346,845.489952319904,4073,845,1573.08034954346,-154.510047680096,1573,-155,china,3.03,8.5,9,8,5.76,8.6
Shenzhen,Shenzhen,China,CHN,2,200,1,Populated place,7581000,1002592,114.061153518963,22.5480970741233,4084.18268776337,853.498651748287,4084,853,1584.18268776337,-146.501348251713,1584,-147,china,2.71,8.5,9,8,5.61,8.6
Wuhan,Wuhan,China,CHN,2,200,1,Admin-1 capital,7243000,4184206,114.2680712,30.5819772,4087.05654444444,741.916983333333,4087,742,1587.05654444444,-258.083016666667,1587,-258,china,2.62,8.5,9,8,5.56,8.6
Hong Kong,Hong Kong,Hong Kong S.A.R.,HKG,0,600,0,Admin-0 region capital,7206000,4551579,114.1830635,22.3069268,4085.87588194444,856.848238888889,4086,857,1585.87588194444,-143.151761111111,1586,-143,china,2.61,8.5,9,8,5.55,8.6
