name,country_source,longitude,latitude,pixel_x,pixel_y,pixel_x_int,pixel_y_int,centered_x,centered_y,source,source_line
Bandar Seri Begawan,Brunei,114.966667,4.933333,4096.76,1098.15,4097,1098,1596.76,98.15,TeX Live pst-geo cities.data,80
Bandung,Indonesien,107.566667,-6.95,3993.98,1263.19,3994,1263,1493.98,263.19,TeX Live pst-geo cities.data,81
Bangalore,Indien,77.583333,12.966667,3577.55,986.57,3578,987,1077.55,-13.43,TeX Live pst-geo cities.data,82
Bangkok,Thailand,100.516667,13.75,3896.06,975.69,3896,976,1396.06,-24.31,TeX Live pst-geo cities.data,83
Bangor,"USA, ME",-68.766667,44.8,1544.91,544.44,1545,544,-955.09,-455.56,TeX Live pst-geo cities.data,84
Bangui,Zentralafrikanische Republik,18.616667,4.383333,2758.56,1105.79,2759,1106,258.56,105.79,TeX Live pst-geo cities.data,85
Banjul,Gambia,-16.65,13.466667,2268.75,979.63,2269,980,-231.25,-20.37,TeX Live pst-geo cities.data,86
Barcelona,Spanien,2.183333,41.383333,2530.32,591.9,2530,592,30.32,-408.1,TeX Live pst-geo cities.data,87
Barcelona,Venezuela,-64.716667,10.133333,1601.16,1025.93,1601,1026,-898.84,25.93,TeX Live pst-geo cities.data,88
Bari,Italien,16.866667,41.116667,2734.26,595.6,2734,596,234.26,-404.4,TeX Live pst-geo cities.data,89
Barquisimeto,Venezuela,-69.3,10.05,1537.5,1027.08,1538,1027,-962.5,27.08,TeX Live pst-geo cities.data,90
Barranquilla,Kolumbien,-74.8,10.983333,1461.11,1014.12,1461,1014,-1038.89,14.12,TeX Live pst-geo cities.data,91
Barreiro,Portugal,-9.083333,38.666667,2373.84,629.63,2374,630,-126.16,-370.37,TeX Live pst-geo cities.data,92
Basel,Schweiz,7.6,47.55,2605.56,506.25,2606,506,105.56,-493.75,TeX Live pst-geo cities.data,93
Basra,Irak,47.833333,30.5,3164.35,743.06,3164,743,664.35,-256.94,TeX Live pst-geo cities.data,94
Bassein,Myanmar,94.75,16.766667,3815.97,933.8,3816,934,1315.97,-66.2,TeX Live pst-geo cities.data,95
Basseterre,St. Kitts-Nevis,-62.716667,17.283333,1628.94,926.62,1629,927,-871.06,-73.38,TeX Live pst-geo cities.data,96
Bata,Äquatorial-Guinea,9.766667,1.85,2635.65,1140.97,2636,1141,135.65,140.97,TeX Live pst-geo cities.data,97
Baton Rouge,"USA, LA",-91.183333,30.45,1233.56,743.75,1234,744,-1266.44,-256.25,TeX Live pst-geo cities.data,98
Beaumont,"USA, TX",-94.1,30.083333,1193.06,748.84,1193,749,-1306.94,-251.16,TeX Live pst-geo cities.data,99
Beersheba,Israel,34.783333,31.25,2983.1,732.64,2983,733,483.1,-267.36,TeX Live pst-geo cities.data,100
Beijing,China,116.4,39.933333,4116.67,612.04,4117,612,1616.67,-387.96,TeX Live pst-geo cities.data,101
Beira,Mosambik,34.866667,-19.816667,2984.26,1441.9,2984,1442,484.26,441.9,TeX Live pst-geo cities.data,102
Beirut,Libanon,35.5,33.883333,2993.06,696.06,2993,696,493.06,-303.94,TeX Live pst-geo cities.data,103
Belem,Brasilien,-48.483333,-1.45,1826.62,1186.81,1827,1187,-673.38,186.81,TeX Live pst-geo cities.data,104
Belfast,Nordirland,-5.933333,54.6,2417.59,408.33,2418,408,-82.41,-591.67,TeX Live pst-geo cities.data,105
Belize City,Belize,-88.2,17.5,1275.0,923.61,1275,924,-1225.0,-76.39,TeX Live pst-geo cities.data,106
Belmopan,Belize,-88.8,17.216667,1266.67,927.55,1267,928,-1233.33,-72.45,TeX Live pst-geo cities.data,107
Belo Horizonte,Brasilien,-43.9,-19.9,1890.28,1443.06,1890,1443,-609.72,443.06,TeX Live pst-geo cities.data,108
Bengasi,Libyen,20.066667,32.116667,2778.7,720.6,2779,721,278.7,-279.4,TeX Live pst-geo cities.data,109
Beograd,Jugoslawien,20.5,44.833333,2784.72,543.98,2785,544,284.72,-456.02,TeX Live pst-geo cities.data,110
Berbera,Somalia,45.033333,10.466667,3125.46,1021.3,3125,1021,625.46,21.3,TeX Live pst-geo cities.data,111
Bergen,Norwegen,5.333333,60.383333,2574.07,328.01,2574,328,74.07,-671.99,TeX Live pst-geo cities.data,112
Bergisch-Gladbach,Deutschland,7.133333,50.983333,2599.07,458.56,2599,459,99.07,-541.44,TeX Live pst-geo cities.data,113
Berlin,Deutschland,13.366667,52.55,2685.65,436.81,2686,437,185.65,-563.19,TeX Live pst-geo cities.data,114
Bern,Schweiz,7.466667,46.95,2603.7,514.58,2604,515,103.7,-485.42,TeX Live pst-geo cities.data,115
Bethlehem,"USA, PA",-75.383333,40.616667,1453.01,602.55,1453,603,-1046.99,-397.45,TeX Live pst-geo cities.data,116
Biel,Schweiz,8.216667,46.45,2614.12,521.53,2614,522,114.12,-478.47,TeX Live pst-geo cities.data,117
Bielefeld,Deutschland,8.533333,52.033333,2618.52,443.98,2619,444,118.52,-556.02,TeX Live pst-geo cities.data,118
Bilbao,Spanien,-2.933333,43.25,2459.26,565.97,2459,566,-40.74,-434.03,TeX Live pst-geo cities.data,119
Billings,"USA, MT",-108.5,45.783333,993.06,530.79,993,531,-1506.94,-469.21,TeX Live pst-geo cities.data,120
Biloxi,"USA, MS",-88.883333,30.4,1265.51,744.44,1266,744,-1234.49,-255.56,TeX Live pst-geo cities.data,121
Binghamton,"USA, NY",-75.916667,42.1,1445.6,581.94,1446,582,-1054.4,-418.06,TeX Live pst-geo cities.data,122
Birmingham,Großbritannien,-1.883333,52.483333,2473.84,437.73,2474,438,-26.16,-562.27,TeX Live pst-geo cities.data,123
Birmingham,"USA, AL",-86.816667,33.516667,1294.21,701.16,1294,701,-1205.79,-298.84,TeX Live pst-geo cities.data,124
Bismarck,"USA, ND",-100.783333,46.8,1100.23,516.67,1100,517,-1399.77,-483.33,TeX Live pst-geo cities.data,125
Bissau,Guinea-Bissau,-15.65,11.866667,2282.64,1001.85,2283,1002,-217.36,1.85,TeX Live pst-geo cities.data,126
Bizerta,Tunesien,9.866667,37.3,2637.04,648.61,2637,649,137.04,-351.39,TeX Live pst-geo cities.data,127
Blantyre,Malawi,35.0,-15.766667,2986.11,1385.65,2986,1386,486.11,385.65,TeX Live pst-geo cities.data,128
Blida,Algerien,2.833333,36.5,2539.35,659.72,2539,660,39.35,-340.28,TeX Live pst-geo cities.data,129
Bnei Brak,Israel,34.866667,32.083333,2984.26,721.06,2984,721,484.26,-278.94,TeX Live pst-geo cities.data,130
Bo,Sierra Leone,-11.75,7.966667,2336.81,1056.02,2337,1056,-163.19,56.02,TeX Live pst-geo cities.data,131
Bobo-Dioulasso,Burkina Faso,-4.3,11.183333,2440.28,1011.34,2440,1011,-59.72,11.34,TeX Live pst-geo cities.data,132
Bochum,Deutschland,7.216667,51.483333,2600.23,451.62,2600,452,100.23,-548.38,TeX Live pst-geo cities.data,133
Bogata,Kolumbien,-74.083333,4.6,1471.06,1102.78,1471,1103,-1028.94,102.78,TeX Live pst-geo cities.data,134
